Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
9530;Kreuz Schweinfurt/Werneck;9;BY;A;7;;AK Kreuz Schweinfurt/Werneck (A70/B26a);N;AS Gramschatzer Wald;S;576324,666;5538003,670
9531;AS Kitzingen;9;BY;A;7;;AS Kitzingen (B8);N;AS Marktbreit;S;579464,141;5507963,532
9532;AS Marktbreit;9;BY;A;7;;AS Marktbreit;N;AS Gollhofen (B13);S;583346,716;5500060,402
9533;AS Uffenh.-Langensteinach;9;BY;A;7;;AS Uffenheim-Langensteinach;N;AS Bad Windsheim (B470);S;586706,846;5483921,709
9534;AS Bad Windsheim;9;BY;A;7;;AS Bad Windsheim (B470);N;AS Rothenburg o.d.T.;S;590892,835;5477528,715
9535;AS Rothenburg o.d.T.;9;BY;A;7;;AS Rothenburg o.d.T.;N;AS Wörnitz;S;589938,759;5458137,042
9536;AS Pegnitz;9;BY;A;9;;AS Pegnitz (B85/B470);N;AS Weidensees;S;680822,500;5511421,500
9538;AD Nürnberg-Feucht (S);9;BY;A;9;;AD Dreieck Nürnberg/Feucht (A73);N;AS Allersberg;S;660447,231;5464573,027
9539;AS Allersberg (S);9;BY;A;9;;AS Allersberg;N;AS Hilpoltstein;S;661402,000;5456945,500
9540;AS Alzenau-Nord;9;BY;A;45;;AS Alzenau-Nord;N;AS Alzenau-Mitte;S;502349,500;5549054,500
9541;AS Schweinf./Bergrheinf.;9;BY;A;70;;AS Schweinfurt-Hafen;O;AS Schweinfurt/Bergrheinfeld (B26);W;585897,500;5541722,000
9542;AS Schweinfurt-Hafen;9;BY;A;70;;AS Schweinfurt-Zentrum (B286);O;AS Schweinfurt-Hafen;W;587976,868;5541883,687
9543;AS Schweinfurt-Zentrum;9;BY;A;70;;AS Gochsheim;O;AS Schweinfurt-Zentrum (B286);W;589430,341;5542369,110
9544;AS Gochsheim;9;BY;A;70;;AS Schonungen (B303);O;AS Gochsheim;W;594001,081;5542361,217
9545;AS Schonungen;9;BY;A;70;;AS Haßfurt;O;AS Schonungen (B303);W;601402,000;5539901,500
9546;AS Knetzgau;9;BY;A;70;;AS Eltmann (B26);O;AS Knetzgau;W;616845,500;5537465,000
9547;AS Eltmann;9;BY;A;70;;AS Viereth-Trunstadt;O;AS Eltmann (B26);W;623374,233;5536300,921
9548;AS Viereth-Trunstadt;9;BY;A;70;;AS Bamberg-Hafen (B26);O;AS Viereth-Trunstadt;W;630152,020;5531922,054
9549;AS Bamberg-Hafen;9;BY;A;70;;AS Hallstadt (B4);O;AS Bamberg-Hafen (B26);W;634267,500;5531400,500
9550;Stetten (W);9;BY;A;96;;AS Stetten;O;AS Erkheim;W;602634,113;5321394,394
9552;Ingolstadt-Nord (S);9;BY;A;9;;AS Ingolstadt-Nord;N;AS Ingolstadt-Süd;S;680734,480;5404211,931
9554;Manching (N);9;BY;A;9;;AS Ingolstadt-Süd;N;AS Manching;S;681975,974;5400144,093
9566;AK Feuchtw./Crailsh. (W);9;BY;A;6;;AK Kreuz Feuchtwangen/Crailsheim (A7);O;AS Schnelldorf;W;588856,456;5450937,166
9567;AK Feuchtw./Crailsh. (O);9;BY;A;6;;AS Feuchtwangen-Nord;O;AK Kreuz Feuchtwangen/Crailsheim (A7);W;590963,070;5451434,029
